source,target,property,Type,weight
김종서,박중손,아,Directed,1
김종서,노숙동,아,Directed,1
노숙동,단종,아,Directed,1
노숙동,박중손,마,Directed,1
단종,박중손,나,Directed,1
단종,노숙동,나,Directed,1
박중손,노숙동,마,Directed,1
박중손,단종,아,Directed,1
김구경,안평 대군,가,Directed,1
김구경,김정,라,Directed,1
김영원,김영전,라,Directed,1
김영원,조번,라,Directed,1
김영원,조완규,라,Directed,1
김영원,박하,라,Directed,1
김영원,이의산,라,Directed,1
김영원,이승윤,라,Directed,1
김영원,이승로,라,Directed,1
김영원,안평 대군,사,Directed,1
김영원,안평 대군,가,Directed,1
김영원,이현로,라,Directed,1
김영원,임원준,라,Directed,1
김영원,정영통,라,Directed,1
김영전,조번,라,Directed,1
김영전,조완규,라,Directed,1
김영전,박하,라,Directed,1
김영전,이의산,라,Directed,1
김영전,이승윤,라,Directed,1
김영전,이승로,라,Directed,1
김영전,안평 대군,사,Directed,1
김영전,안평 대군,가,Directed,1
김영전,이현로,라,Directed,1
김영전,임원준,라,Directed,1
김영전,정영통,라,Directed,1
김영전,김영원,라,Directed,1
김정,김구경,라,Directed,1
김정,윤탁,바,Directed,1
김황,박팽년,마,Directed,1
김황,윤탁,가,Directed,1
김황,김성원,가,Directed,1
김황,이승손,마,Directed,1
김황,정척,마,Directed,1
박팽년,윤탁,가,Directed,1
박팽년,김성원,가,Directed,1
박팽년,이승손,마,Directed,1
박팽년,정척,마,Directed,1
박팽년,김황,마,Directed,1
박하,이의산,라,Directed,1
박하,이승윤,라,Directed,1
박하,이승로,라,Directed,1
박하,안평 대군,사,Directed,1
박하,안평 대군,가,Directed,1
박하,이현로,라,Directed,1
박하,임원준,라,Directed,1
박하,정영통,라,Directed,1
박하,김영원,라,Directed,1
박하,김영전,라,Directed,1
박하,조번,라,Directed,1
박하,조완규,라,Directed,1
이승로,안평 대군,사,Directed,1
이승로,안평 대군,가,Directed,1
이승로,이현로,라,Directed,1
이승로,임원준,라,Directed,1
이승로,정영통,라,Directed,1
이승로,김영원,라,Directed,1
이승로,김영전,라,Directed,1
이승로,조번,라,Directed,1
이승로,조완규,라,Directed,1
이승로,박하,라,Directed,1
이승로,이의산,라,Directed,1
이승로,이승윤,라,Directed,1
이승손,정척,마,Directed,1
이승손,김황,마,Directed,1
이승손,박팽년,마,Directed,1
이승손,윤탁,가,Directed,1
이승손,김성원,가,Directed,1
이승윤,이승로,라,Directed,1
이승윤,안평 대군,사,Directed,1
이승윤,안평 대군,가,Directed,1
이승윤,이현로,라,Directed,1
이승윤,임원준,라,Directed,1
이승윤,정영통,라,Directed,1
이승윤,김영원,라,Directed,1
이승윤,김영전,라,Directed,1
이승윤,조번,라,Directed,1
이승윤,조완규,라,Directed,1
이승윤,박하,라,Directed,1
이승윤,이의산,라,Directed,1
이의산,이승윤,라,Directed,1
이의산,이승로,라,Directed,1
이의산,안평 대군,사,Directed,1
이의산,안평 대군,가,Directed,1
이의산,이현로,라,Directed,1
이의산,임원준,라,Directed,1
이의산,정영통,라,Directed,1
이의산,김영원,라,Directed,1
이의산,김영전,라,Directed,1
이의산,조번,라,Directed,1
