id,label,group
박중손,박중손,4
노숙동,노숙동,4
단종,단종,2
김종서,김종서,2
이승손,이승손,2
정척,정척,4
김황,김황,4
박팽년,박팽년,1
윤탁,윤탁,
김성원,김성원,
김정,김정,
김구경,김구경,
이현로,이현로,
임원준,임원준,
정영통,정영통,
김영원,김영원,
김영전,김영전,
조번,조번,2
조완규,조완규,
박하,박하,
이의산,이의산,
이승윤,이승윤,
이승로,이승로,
안평 대군,안평 대군,2
사관,사관,3
황보인,황보인,2
정인지,정인지,4
조극관,조극관,2
한명회,한명회,4
이명민,이명민,2
세조,세조,4
민신,민신,2
승정원,승정원,3
의정부,의정부,3
영해군,영해군,
정창손,정창손,4
주,주,
조서안,조서안,
이몽가,이몽가,4
권남,권남,4
정자제,정자제,
안평,안평,
정자양,정자양,
안완경,안완경,2
노회신,노회신,
강희안,강희안,
이축,이축,
김문기,김문기,1
신자수,신자수,4
김개,김개,
윤삼산,윤삼산,
이언,이언,
신자승,신자승,
박건순,박건순,
박금손,박금손,
우효강,우효강,
김계희,김계희,
신자형,신자형,
박호문,박호문,
사헌부,사헌부,3
허후,허후,
박중림,박중림,4
맹자,맹자,
태조,태조,
세종,세종,3
문종,문종,3
윤사로,윤사로,
이귀,이귀,
나홍서,나홍서,
의금부,의금부,3
권맹손,권맹손,4
민심언,민심언,
민형,민형,
민충원,민충원,
김종순,김종순,
강폭,강폭,
신자교,신자교,
윤필상,윤필상,
권징,권징,
신의경,신의경,
권제,권제,
정윤화,정윤화,
유경로,유경로,
김제남,김제남,
이흥덕,이흥덕,
윤봉,윤봉,
이인손,이인손,4
이예장,이예장,4
구신충,구신충,
임중경,임중경,
최윤덕,최윤덕,
최운해,최운해,
태종,태종,
평망고,평망고,
유정현,유정현,
무,무,
권람,권람,
계수,계수,
윤처공,윤처공,2
홍달손,홍달손,4
양정,양정,4
유수,유수,4
유하,유하,4
김연,김연,2
한숭,한숭,2
이양,이양,2
이사철,이사철,4
한확,한확,4
최치원,최치원,
안초,안초,
조정서,조정서,
김귀홍,김귀홍,
노정,노정,
예조,예조,
박미,박미,
박건,박건,
이번,이번,
이효경,이효경,
설,설,
이군생,이군생,
김한,김한,
권담,권담,
황보공,황보공,
황인헌,황인헌,
김귀흥,김귀흥,
각돈,각돈,
조근,조근,
이영유,이영유,
박종우,박종우,4
김세민,김세민,4
민건,민건,
정분,정분,2
이징석,이징석,
고요,고요,
기,기,
공자,공자,
하위지,하위지,
김형손,김형손,
조숙생,조숙생,
유강,유강,
이종목,이종목,
지정,지정,
성승,성승,4
최숙손,최숙손,
황보석,황보석,
남윤,남윤,
전균,전균,
신개,신개,
신자준,신자준,
김승규,김승규,2
남지,남지,
이견기,이견기,4
이계린,이계린,
이변,이변,4
이계전,이계전,4
정양,정양,
엉양,엉양,
최귀인,최귀인,
한남군,한남군,
혜빈,혜빈,2
함우치,함우치,2
유자황,유자황,4
김용,김용,
안중후,안중후,
임숙,임숙,
김문현,김문현,
신돈,신돈,
이춘부,이춘부,
김부필,김부필,
김사청,김사청,
김소남,김소남,
김약회,김약회,
사간원,사간원,
영응 대군,영응 대군,
홍옥봉,홍옥봉,
홍구성,홍구성,
홍약,홍약,4
홍승,홍승,
홍적,홍적,
최윤,최윤,4
최자탑,최자탑,
문득겸,문득겸,
강곤,강곤,4
홍윤성,홍윤성,4
임자번,임자번,4
안경손,안경손,4
홍순로,홍순로,4
홍귀동,홍귀동,
민발,민발,
곽연성,곽연성,4
송석손,송석손,
유형,유형,
자성 왕비,자성 왕비,
임어을운,임어을운,
권언,권언,4
권경,권경,4
한서구,한서구,4
한명진,한명진,4
