score,text,idx,user,written_at,agree,disagree
10,태어나서 이렇게 감동적인 영화는 처음임 ㅠㅠ,7069061,skyb****,2013.01.01 00:13,0,0
10,아바타 이후로 가장 현실적인 3D. 이것이 영화다!,7069212,분신술(xabo****),2013.01.01 01:08,0,0
10,그냥 토나오게 대박이라는말뿐이 않나온다... 걍 어줍잖은 SF영화들은 이영화를 경배해야한다 13년 올해의 영화가 될듯,7069450,love****,2013.01.01 02:28,0,0
1,보지마 재미없어,7069574,zzxx****,2013.01.01 03:24,0,1
1,아 보다그냥 나왔어 돈아깝다,7069615,gkwl****,2013.01.01 03:45,0,1
10,타워알바들이 평점 깍으려고 난리구만  타워볼바에야 옛날 타워링이랑 데이라이트 봐라 2영화 짜집기다,7069750,real****,2013.01.01 05:49,0,0
10,감독의 연출이 입체적인듯 잘만들어진 영화~,7069754,요다(kjhh****),2013.01.01 05:57,0,0
10,3d와 이야기가 이렇게 잘녹아든 영화가 있을지,7069764,succ****,2013.01.01 06:10,0,0
10,밑에 알바티나는xxx들아 얼마받고 평점개판주냐억지 평점도 웃기지만 니들같은 개판평점은 쓰레기다.인터넷 루저들의 자x행위냐,7069782,이영호(trv9****),2013.01.01 06:42,0,0
10,이안감독은 진정한 살아있는 거장이 되셨네요3D로 보시길 강추합니다,7069787,dlqm****,2013.01.01 06:52,0,0
10,진짜 재미없는건 타워죠 그게무슨 100억? 솔직히 100억 같고 뭔영화를만듭니까 100억가지고 만들었으면 그게 영화입니까?? 그냥 ebs강의지 다필요없고 그냥 소울을 울리는 영화임,7069879,ldh7****,2013.01.01 09:11,0,0
10,타워알바방지,7069903,mama****,2013.01.01 09:34,0,0
5,3d는 예고편장면뿐... 조조영화로 휴일이 날아갔군ㅠㅠ,7069930,heri****,2013.01.01 09:58,0,0
10,아바타 이후로 재미있게 본 영화!,7069932,lji5****,2013.01.01 10:00,0,0
9,굳,7069954,rlsk****,2013.01.01 10:19,0,0
10,"위대한영화예술의승리,정교한영화기술의승리다.자연,삶,죽음에대한숨막히는서사시...",7069964,kong****,2013.01.01 10:22,0,0
10,전 정말 훌륭하게 봤습니다. 표현력 연출 긴장감 감동 ~! 최고였어요 이런 장르가 원래 반전 이런게 없죠~ 전 아주 재미나게 봤습니다,7069972,sech****,2013.01.01 10:32,0,0
6,"용산 아이맥스로 방금 보고 나왔다. 2가지를 느꼈다. 주인공=호랑이, 3D가 아닌 2D",7069983,mgc7****,2013.01.01 10:40,0,0
