url,title,content,category
http://sillok.history.go.kr/id/kla_10101001_001,삭전을 지내고 상식을 올리다,상이 삭전  을 지내고 상식  을 올렸다.이에 앞서는 삭망전과   별제 를 대군  이 부스럼을 앓았기 때문에 지내지 않다가 이때부터 다시 지냈다.,['왕실(王室)']
http://sillok.history.go.kr/id/kla_10101001_002,햇무리가 지다,햇무리가 졌다.,['과학-천기(天氣)']
http://sillok.history.go.kr/id/kla_10101002_001,조석전을 지내고 상식을 올리다,상이 조석전을 지내고 상식을 올렸다.,['왕실(王室)']
http://sillok.history.go.kr/id/kla_10101002_002,좌의정 홍언필이 사직을 청하다," 좌의정 홍언필이 아뢰기를,""신은 장구나 따지는 하찮은 선비로서 어쩌다가 과제에 들어서 사판에 끼게 되었고 외람되이 여러 선비들의 반열에 끼게 된 것도 자신을 돌아봄에 이미 만족합니다. 그런데 그럭저럭 지내다가 인재가 모자란 탓으로 분수에 맞지 않는 자리를 차지하였으므로, 항상 직임을 제대로 수행하지 못할까 걱정하여 왔으나 오랫동안 자리만 지키고 있다는 기롱을 받았습니다.대행 대왕께서 빈천하시어 상제에 대해 갖출 일이 갖가지로 많았으므로 전례에 따라 참작하여 단행하더라도 응당 적격자가 있어야 했는데, 신은 그 사이에 있으면서 어리석어 아는 것이 없었습니다. 또 성상께서 처음 즉위하여 기강을 갖추고 기본을 세우실 때를 당하였으므로 신민이 눈을 닦고 기대하는 것이 바로 오늘날에 달려 있는데, 어찌할 줄을 몰라 선후가 전도되게 함으로써 공론을 격발시켜 잘못을 지적하여 아뢰게 만들었으니 이는 모두 신이 자초한 것입니다. 따라서 스스로 반성하기에 겨를이 없어야 하는데도 오히려 낯을 들고 대궐에 나아가 간절히 사직하는 말을 여러번 아뢰었습니다. 성상께서는 신이 선조의 신하이고 동궁의 구료라 하여 위로하고 측은히 여겨 극진히 감싸주셨습니다. 변변치 못한 신으로서는 감히 감당할 수가 없어 마음에 새기고 뼈에 새겨도 우러러 보답할 방법이 없습니다.생각하건대, 도규  의 직임은 만인이 우러러보고 본보기로 삼는 자리이므로 관계되는 바가 가볍지 않습니다. 조금이라도 사람들의 말이 있으면 서슴없이 파면하는 것은 그 지위를 중시하기 때문입니다. 한 가지 일을 잘못하여도 이렇게 되는 것인데, 온갖 허물과 잘못이 신의 몸에 집중되었으니 조정의 높은 벼슬에 끼이기 어려운 줄 알고 있습니다. 그런데 어찌 중한 직임에 그대로 두어 그 자리를 더럽힐 수 있겠습니까. 그러니 성상의 은혜가 비록 깊기는 하지만 신의 잘못은 더욱 드러나 가릴 수 없게 되어서 하찮은 이 한 몸 스스로 용납될 곳이 없게 되었습니다.시골에 있는 미천한 사람도 그 마을의 공론에 허용되지 않게 되면 또한 부끄러운 줄을 알아서 문을 닫고 허물을 살펴 전에 한 짓을 뉘우칩니다. 신은 이미 한 나라의 공론에 허용되지 않는데 감히 높은 자리를 차지한 채 붙들고 놓지 않는다면, 조정에 같이 있는 사람들만 한 무리가 되는 것을 부끄러워할 뿐 아니라 사람들도 장차 침을 뱉고 욕하며 나를 천하게 여길 것입니다. 일찍이 진신의 대열에 있었으면서도 도리어 시골의 미천한 사람만도 못할 수 있겠습니까. 신은 이것을 삼가 민망하게 여깁니다. 성상께서 신의 벼슬을 해면해서 허물을 알게 하여 주신다면 이 어찌 천지가 포용하는 큰 덕이 아니겠습니까. 이것이 신이 지극한 정성으로 지극히 바라는 것이니 신을 빨리 체직시켜 주소서.""하니, 답하기를,""하늘이 내 몸에 호된 재앙을 내려 점괴  에 엎드려 있을 뿐 어찌할 바를 모르고 있으므로 상례에 관한 큰일을 모두 조정에 의지하고 있다. 이처럼 일이 많을 때에 나라의 일을 생각하지 않고 굳이 사피하니 내 마음이 몹시 민망하다. 사피하지 말고 직에 나아가라.""하고, 이어 술을 내렸다. 홍언필이 다시 아뢰었으나 윤허하지 않았다.  사신은 논한다. 상이 홍언필의 사람됨을 모르지는 않으나 처음 즉위한 때를 당하여 즉시 구신을 버리는 것을 어렵게 여겼으므로 답사의 내용이 이러했던 것이다. 조야에서 이 말을 듣고 감복하여 기뻐하지 않는 이가 없었다.","['왕실(王室)', '정론(政論)', '인사(人事)', '역사-사학(史學)']"
http://sillok.history.go.kr/id/kla_10101002_003,헌부가 중종의 시호를 빨리 정할 것과 이인현·정웅의 체직을 청하다,"헌부가 아뢰기를,""의시  는, 조종 때에는 하루에 다 의논하여 정하였는데 이번 대행 대왕  의 시호는 여러 달이 되도록 정하지 못하였습니다. 이는 사체에 온편하지 못할 뿐만 아니라 국장에 관한 모든 일이 이 때문에 늦어지니 빨리 의논하여 정하소서. 창원은 사람이 많고 지역이 크므로 근면하고 재간이 있는 사람이 아니면 감당할 수 없는데, 부사 이인현은 성품이 본디 유약하고 번다한 업무를 처리하는 재주가 없어 큰 곳에는 합당하지 않으니, 체직하소서. 도총부 경력 정웅은 성품이 본디 탐오스럽고 마음 쓰는 것이 간사하여 조정의 반열에 둘 수 없으니 파직시키소서.""하니, 답하기를,""오래도록 시호를 정하지 못하였으므로 나도 매우 온편하지 못하게 여기고 있었는데 이제 아뢴 내용이 매우 마땅하다. 정웅은 인물이 그러하더라도 파직시키는 것은 또한 지나치지 않은가. 개정만 하라. 이인현은 아뢴 대로 하라.""하였다.","['왕실(王室)', '정론(政論)', '인사(人事)', '사법(司法)']"
http://sillok.history.go.kr/id/kla_10101002_004,이조 정랑 윤희성의 졸기,"정원이 아뢰기를,""이조 정랑 윤희성이 지난달 그믐날에 죽었습니다. 대행 대왕 때에는 대간·시종을 지낸 자가 죽어 상을 당하면 계달했었는데, 윤희성은 전에 대간·시종을 지냈으므로 감히 아룁니다.""하니, 답하기를,""이 사람은 전에 요속  이었는데 이제 그의 죽음을 들으니 매우 놀랍고도 슬프다. 전례를 살펴서 특별히 치부하라.""하였다.  사신은 논한다. 윤희성은 천성이 순후하고도 참되었고 기우가 침착하고도 꿋꿋하였으며, 마음은 화평하고 선을 좋아하여 대인 관계에 간격이 없었다. 급제하기 전에 반중  에서 의논을 제기하여 스스로 상소문을 지어 기묘사림  의 억울함을 호소하였는데, 남곤 등을 공박하여 ‘여우와 같은 작태로 승냥이 같은 사나운 짓을 했다. 심정과 이항이 먼저 처형되고 삼흉  이 이어서 뒤에 처형되니 무릇 혈기가 있는 자라면 기뻐서 춤추며 경하하지 않는 이가 없었다. 그러나 기묘년의 일로 말하면 이제까지도 몹시 마음이 아픈데 어찌 아래로 지하의 썩은 뼈에게 사정을 두어서이겠는가.’ 하였으니, 식견이 있는 사람들은 확론으로 여겼다. 처음 상소할 것을 의논할 때에는 김주와 같이 재중  에 고하기로 약속하였으나, 윤희성이 나아가 고할 때에 김주는 나아가 고하지 않았다. 윤희성이 고하고 나와서 김주를 불러 꾸짖으니, 김주가 ‘박세희와 기준은 모두 나의 절친인데 누가 내 말을 믿겠는가.’고 답하였다. 이에 앞서 윤희성이 김주·조희윤과 명망이 같았었는데, 이때에 이르러 비로소 김주가 떨어지는 것을 알게 되었다.","['왕실-사급(賜給)', '인물(人物)']"
http://sillok.history.go.kr/id/kla_10101003_001,조석전을 지내고 상식을 올리다,상이 조석전을 지내고 상식을 올렸다.,['왕실(王室)']
http://sillok.history.go.kr/id/kla_10101003_002,홍언필이 다시 사직을 청하다," 좌의정 홍언필이 아뢰기를,""신의 마음을 죄다 아뢰었으므로 다시 말할 것이 없습니다. 나라의 큰일 가운데 어제 법사가 아뢴 것과 같은 것은 진실로 속히 정해야 하는 것인데, 신 때문에 즉시 의논하여 정하지 못하고 여러 달이 경과하게 되었으니, 신의 죄가 더욱 무겁습니다. 신이 직에 있을 수 없다는 뜻은 조정의 상하가 아는 것일 뿐만이 아니라 여항의 백성도 누구나 아는데 이토록 망설이시니 참으로 몹시 민망합니다. 빨리 체직시켜 주소서.""하니, 답하기를,""나의 마음도 죄다 말하였다. 의시하는 일을 날짜를 끌면서 정하지 못하고 지금에 이른 데 대해서는 헌부가 아뢰지 않았더라도 내 마음이 편안하지 못하다. 경은 나라의 큰일을 생각하여 사피하는 마음을 조금 억제하고 빨리 직에 나아가라. 여러날 동안 이토록 극심하게 강력히 사피하니 내가 망극한 심정을 견디지 못하겠다.""하였다. 언필이 다시 아뢰기를,""벼슬이 낮은 사람이라도 청현직에 있다가 물론을 받으면 마땅히 사피해야 하는 것인데 더구나 본보기가 되는 지위에 있는 대신이겠습니까. 보잘것 없는 신이 거듭 물론을 받았으니 신이 아무리 후안무치하더라도 어찌 감히 얼굴을 들고 의시에 참여할 수 있겠습니까. 설사 의논에 참여한다 해도 조정을 더럽히고 욕되게 할 뿐입니다. 이제 신을 체직시키고 다른 사람을 등용한다면 조정이 존엄해지고 큰 일도 하기 쉬울 것인데 위에서 번번이 직에 나아가라 이르시니 신은 참으로 몹시 민망합니다. 반복하여 생각하여도 끝내 있을 수 없으니 빨리 체직시켜 주소서.""하니, 답하기를,""경의 사피하는 말이 매우 간절하기는 하나 지금 국가의 일이 여러모로 바쁘니 더욱이 동요시킬 수 없다. 내 뜻은 이미 결정되었으니 경은 다시 사피하지 말라.""하였다. 언필이 세 번 아뢰었으나 윤허받지 못하고 물러갔다.","['왕실(王室)', '정론(政論)', '인사(人事)']"
http://sillok.history.go.kr/id/kla_10101003_003,헌부가 송겸·임세무의 추고를 청하다,"헌부가 아뢰기를,""모든 공사  의 출입은 반드시 정원을 거치게 해야만이 정령을 내고 시행하는 것이 광명 정대하게 되어 거짓이 발붙일 데가 없게 되는 것입니다. 한 가지 일이라도 정원을 거치지 않고 들어가는 것이 있게 되면 간사한 길이 점차 열리게 되고 따라서 뒷날의 화가 끝이 없게 되는 것입니다. 송겸·임세무는 망극한 때를 당하여 사사로운 부탁을 받아들여 산릉의 각 색장  을 지나치게 많이 뽑아 적어서 틈을 타 입계하였으니, 관계되는 바가 가볍지 않음은 물론 이를 들은 사람들은 경악하고 있습니다. 정시의 처음에는 모든 일을 한결같이 바른 데에서 나오게 해야 하는 것이니, 이처럼 부정한 일이 있으면 위에서 두렵게 여기고 돌이켜 생각하여 그 조짐을 막으셔야 합니다. 그런데 앞뒤로 대간이 날마다 잇달아 논계하여도 아직 윤허를 받지 못하였으니 신들은 서운함을 견딜 수 없습니다. 송겸·임세무를 빨리 추고하여 죄를 다스리소서.승지는 후설의 지위에 있으므로 왕명의 출입을 미덥게 해야만 할 것인데, 근래 승지들이 공사를 출입함에 있어 조금도 유의하지 않아서 전도되는 일이 많고 위의 뜻을 받들어 따르기만을 힘쓸 뿐 바로잡는 일은 하지 않습니다. 처음에는 정원을 거치지 않고 들어갔더라도 정원에 내려졌으면 곧 들어간 연유를 상세히 살펴서 간사한 짓을 바로잡았어야 했는데, 태연히 살피지 않고 판하에만 급급 하였으니, 잘못한 것이 매우 중합니다. 색승지  는 파면하고 도승지는 체직시키소서.""하고, 또 정웅의 일을 아뢰니, 답하기를,""송겸 등의 일은 부정한 데에 관계되는 듯하니 아뢴 바를 따라야 마땅하겠으나, 창졸간이라서 전례를 살피지 못하였을 뿐이지 어찌 다른 뜻이 있었겠는가. 송겸은 전에 중임을 받은 것을 어쩔 수 없이 교체한 것도 온편하지 못한데 또 이 일 때문에 추고하여 다스린다면 어찌 심한 일이 아니겠는가. 임세무도 중임을 맡고 있는데 이제 추고하여 다스리면 위를 위하는 의리에 어긋날 듯하니 추고하여 다스릴 것은 없다. 색승지와 도승지에 대한 일은 이미 죄다 일렀으니 파체할 것 없다. 정웅은 문관이니 경력에서 체직시키면 반드시 부끄러움을 알아 허물을 뉘우칠 것이다. 파면할 것 없다.""하였다.","['왕실(王室)', '정론(政論)', '인사(人事)', '사법-탄핵(彈劾)']"
http://sillok.history.go.kr/id/kla_10101004_001,조석전을 지내고 상식을 올리다,상이 조석전을 지내고 상식을 올렸다.,['왕실(王室)']
